"","SAMPLE_ID","sitename","PAHs","PCBs","DDTs","PAHsSL","PCBsSL","DDTsSL"
"1","CSP-1","East End Beach",NA,3.38791621812208,1.78251282299939,NA,"Below ERL","Between ERL and ERM"
"2","CSP-2","Amethyst Lot",334508,4.24901685771934,1.92880170319694,"Above ERM","Below ERL","Between ERL and ERM"
"3","CSP-3","Maine State Pier/Ocean Gateway",39671,49.7061357069622,159.078268738499,"Between ERL and ERM","Between ERL and ERM","Above ERM"
"4","CSP-4","Maine Wharf",31253,108.471123584599,101.284274817292,"Between ERL and ERM","Between ERL and ERM","Above ERM"
"5","CSP-5","Portland Pier",85721,237.275757403031,315.23427260756,"Above ERM","Above ERM","Above ERM"
"6","CSP-6","Chandler's Wharf",64731,30.2840290292324,2.67015508819612,"Above ERM","Between ERL and ERM","Between ERL and ERM"
"7","CSP-7","Union Wharf",128883.333333333,109.095108001926,65.7041594428429,"Above ERM","Between ERL and ERM","Above ERM"
"8","CSP-7D","Union Wharf",97735,146.277837531241,53.7542708257896,"Above ERM","Between ERL and ERM","Above ERM"
"9","CSP-8","Wright Wharf",1366220,NA,272.258588212176,"Above ERM",NA,"Above ERM"
"10","CSP-9","Holyoke Wharf",108250,76.1255785090312,82.8970691740219,"Above ERM","Between ERL and ERM","Above ERM"
"11","CSP-10","Deake's Wharf",8627.8,3.47152805373418,1.80083015052032,"Between ERL and ERM","Below ERL","Between ERL and ERM"
"12","CSP-11","Portland Yacht Services",43509,247.432685465494,191.154269934037,"Between ERL and ERM","Above ERM","Above ERM"
"13","CSP-12","Ricker's Wharf",8163.7,6.66212188009076,5.41824907328625,"Between ERL and ERM","Below ERL","Between ERL and ERM"
"14","CSS-13","South Port Marina",8436.1,18.2664248327665,14.493279041456,"Between ERL and ERM","Below ERL","Between ERL and ERM"
"15","CSP-14","Aspasia/Sunset Marina",2210.3,3.68380672852593,4.37758946311897,"Below ERL","Below ERL","Between ERL and ERM"
"16","CSS-15","Port Harbor/ Breakwater Marina",886.755,4.09008993349351,2.83891324520956,"Below ERL","Below ERL","Between ERL and ERM"
