"","SAMPLE_ID","sitename","PAHs","PCBs","DDTs","PAHsSL","PCBsSL","DDTsSL"
"1","CSP-1","East End Beach",202.70242629262,3.4009063950511,1.78473757356688,"Below ERL","Below ERL","Between ERL and ERM"
"2","CSP-2","Amethyst Lot",334508,4.28729087792425,1.94065653760871,"Above ERM","Below ERL","Between ERL and ERM"
"3","CSP-3","Maine State Pier/Ocean Gateway",39671,49.739089667443,159.078268509168,"Between ERL and ERM","Between ERL and ERM","Above ERM"
"4","CSP-4","Maine Wharf",31253,108.485746737044,101.284270018475,"Between ERL and ERM","Between ERL and ERM","Above ERM"
"5","CSP-5","Portland Pier",85721,237.270748868157,315.234269827554,"Above ERM","Above ERM","Above ERM"
"6","CSP-6","Chandler's Wharf",64731,30.3096638221358,2.66848008722029,"Above ERM","Between ERL and ERM","Between ERL and ERM"
"7","CSP-7","Union Wharf",128883.333333333,109.070951765265,65.7149695638779,"Above ERM","Between ERL and ERM","Above ERM"
"8","CSP-7D","Union Wharf",97735,146.262426160999,53.754278212494,"Above ERM","Between ERL and ERM","Above ERM"
"9","CSP-8","Wright Wharf",1366220,NA,272.260360778363,"Above ERM",NA,"Above ERM"
"10","CSP-9","Holyoke Wharf",108250,76.098138971471,82.8839844405046,"Above ERM","Between ERL and ERM","Above ERM"
"11","CSP-10","Deake's Wharf",8627.8,3.43108958897581,1.80665765919191,"Between ERL and ERM","Below ERL","Between ERL and ERM"
"12","CSP-11","Portland Yacht Services",43509,247.428881317509,191.154281062193,"Between ERL and ERM","Above ERM","Above ERM"
"13","CSP-12","Ricker's Wharf",8163.7,6.62513605693004,5.42026432634321,"Between ERL and ERM","Below ERL","Between ERL and ERM"
"14","CSS-13","South Port Marina",8436.1,18.2984877096987,14.4932705525529,"Between ERL and ERM","Below ERL","Between ERL and ERM"
"15","CSP-14","Aspasia/Sunset Marina",2210.3,3.72605580474235,4.37451059358545,"Below ERL","Below ERL","Between ERL and ERM"
"16","CSS-15","Port Harbor/ Breakwater Marina",886.755,4.08270488900186,2.83902554455806,"Below ERL","Below ERL","Between ERL and ERM"
